priority,target,contact_type,resource_focus,why_it_matters,first_request,rights_to_ask_about,status,next_action,notes
1,Known local pastors and Bible teachers,direct relationship,"sermon outlines; lesson notes; teaching series; audio sermons","Warmest trust path; quickest way to test permission workflow with real ministry content.","Permission for one sermon or lesson set in private beta with official attribution.","metadata; excerpt; private beta; sermon audio; transcript; public app",Not contacted,"Pick 3 people Stephen knows personally and ask for one sample resource.","Start here before major publishers."
2,Way of Life Literature / David Cloud,ministry publisher,"KJV; Baptist doctrine; Bible encyclopedia; church issues; apologetics","Strong fit for target audience, but modern copyrighted content must stay blocked until written permission exists.","Metadata and official links first; one approved excerpt or sample chapter if allowed.","metadata; excerpt; private beta; public app; paid access; audio/TTS",Permission Needed,"Use official contact path and ask for the correct permissions process.","Do not import text publicly without written approval."
3,Thru the Bible / J. Vernon McGee,ministry publisher,"Bible teaching notes; audio teaching; book-by-book resources","Strong audio and Bible-book workflow fit; recognizable teacher.","Ask who handles app text, audio, and transcript permissions separately.","metadata; excerpt; text license; audio; transcript; paid access",Permission Needed,"Request rights contact and process for one selected book or transcript set.","Treat audio separately from text."
4,Kregel Publications,publisher,"Bible study; commentaries; ministry resources; reprints","Likely formal permissions workflow and useful study catalog.","Ask about excerpt or beta inclusion for one selected title.","metadata; excerpt; private beta; full digital; paid access",Permission Needed,"Use official contact page and record response.","Title-specific requests only."
5,Moody Publishers / Moody Bible Institute,publisher/ministry,"legacy evangelism; biography; Bible study; Ironside-adjacent questions","Important catalog and name recognition; possible separate ministry/publisher rights.","Ask for correct permissions contact for app/library use of one title.","metadata; excerpt; private beta; full digital; audio/TTS",Permission Needed,"Contact publisher side first, then institute if directed.","Modern editions require permission."
6,Christian Focus Publications,publisher,"biographies; theology; missions; Christian living","Strong future premium/free curated shelf candidate.","Ask about metadata, approved excerpts, and future subscription licensing.","metadata; excerpt; private beta; full digital; paid access",Permission Needed,"Ask for permission process, not catalog-wide approval.","Good after beta screenshots are ready."
7,Independent Baptist authors with active ministries,author/ministry,"doctrine; preaching; evangelism; KJV; church helps","Likely easier relationship-building than large publishers.","Permission to include one booklet or study in beta with official links.","metadata; excerpt; private beta; public app; paid access",Not contacted,"Create a list of 10 names Stephen trusts doctrinally.","Keep scope narrow."
8,Mission boards and missionary biography rights holders,ministry/rights holder,"missionary biographies; prayer letters; photos; field reports","Excellent fit for Missions, Prayer, and Library paths.","Permission for approved excerpts, missionary photos, and official links.","metadata; excerpt; photos; private beta; public app; audio/video",Permission Needed,"Start with boards or families already connected to Stephen/church.","Photos and letters have separate rights."
9,SermonAudio and church media contacts,platform/church,"sermon audio; transcripts; sermon metadata; embed/link options","Could add sermon depth without hosting files immediately.","Ask whether linking, embedding, and metadata storage are permitted.","metadata; links; embeds; transcript; audio hosting",Permission Needed,"Ask for platform terms and church-level permission boundaries.","Do not download/rehost modern sermon audio without permission."
10,Lifeway,publisher,"church resources; Bible studies; ministry helps","Large formal permissions process; useful later-stage partner.","Ask for permissions process for one specific title only.","metadata; excerpt; private beta; paid access",Later,"Wait until beta metrics and screenshots are ready.","Do not start with broad catalog ask."
11,HarperCollins Christian / Thomas Nelson / Zondervan,publisher,"study Bibles; Christian living; reference works","Major rights holder; better approached with metrics.","Ask for permission process only after beta proof.","metadata; excerpt; paid access; study Bible notes",Later,"Prepare app one-page overview before contact.","Large publisher, likely formal process."
12,John Phillips estate/publisher,rights holder/publisher,"commentaries; exploring Bible books","High-value Bible-believing commentary candidate.","Ask who controls digital/app rights for one selected volume.","metadata; excerpt; full digital; paid access",Permission Needed,"Identify exact rights holder before sending request.","Do not import copyrighted text."
13,S. M. Davis / Solve Family Problems,ministry,"family; preaching; sermon audio/video","Useful for family, Christian living, and sermon media.","Ask for metadata/linking and one approved excerpt or video embed.","metadata; excerpt; video embed; audio; public app",Permission Needed,"Use official ministry contact and ask boundaries clearly.","Modern copyrighted material."
14,Mark Cahill / ministry,author/ministry,"evangelism; apologetics; witnessing","Strong evangelism shelf candidate.","Ask for metadata/linking plus one short approved excerpt.","metadata; excerpt; private beta; public app",Permission Needed,"Ask if free app listing with official purchase link is allowed.","Modern copyrighted material."
15,Creation / apologetics ministries,ministry/publisher,"creation; evolution; apologetics; Bible defense","Fills apologetics and against-evolution category safely if licensed.","Ask for metadata, official links, and excerpt permission first.","metadata; excerpt; private beta; public app; paid access",Permission Needed,"Start with one ministry-aligned group, not many at once.","Avoid copying articles without permission."
16,KJV / English Bible history authors,publisher/author,"KJV defense; textual issues; English Bible history","Important target shelf, but many desired works are modern copyrighted.","Ask for one title-specific excerpt or beta permission.","metadata; excerpt; full digital; paid access",Permission Needed,"Prioritize authors already friendly to ministry distribution.","Keep public-domain and modern works separated."
17,Baptist history authors/publishers,publisher/author,"Baptist history; church history; biographies","High-value identity shelf; some works are public domain, some modern.","Ask for permission for one modern or revised title only.","metadata; excerpt; private beta; public app",Permission Needed,"Audit public-domain alternatives first; ask for modern titles after.","Do not rely on physical ownership."
18,Sunday School curriculum writers,author/ministry,"lesson outlines; discussion questions; teaching notes","Directly helps teachers and weekly prep workflow.","Ask for one sample lesson series in beta.","metadata; excerpt; private beta; public app",Not contacted,"Begin with teachers/pastors Stephen knows.","Great for app differentiation."
19,Small sermon/illustration publishers,publisher,"illustrations; stories; quotes; preaching helps","Helps Sermon Builder become useful, but rights can be complex.","Ask for excerpt quota and attribution rules.","excerpt; quote; export; paid access",Permission Needed,"Find one title and ask narrow terms.","Sermon illustrations may have third-party sources."
20,Audiobook narrators and public-domain recording projects,narrator/project,"public-domain audiobook recordings; sermons; teaching audio","Can add listening value without paid TTS if rights are clear.","Ask for redistribution, streaming, and attribution terms.","audio streaming; download; public app; attribution",Needs Review,"Prefer projects with explicit public-domain/CC license terms.","Audio rights differ from text rights."
